"","Latitude","Longitude","Altitude (m a.s.l.)","Terrain age","Age since deglaciation","Soil gravel fraction (%)","Soil sand fraction (%)","Soil silt fraction (%)","Soil clay fraction (%)","Soil reaction (pH)","Soil C content (g/kg)","Soil organic matter content (g/kg)","Soil carbonate calcium content (%)","years","Plant cumulative ground cover","som"
"Tro.F1.1.a","46 03.358","10 05.129","2490","2007","7","80.57864347","15.92551235","3.495844175","0","7.9","1.134838107","1.956460896","6.105989909",7,"1",1.956460896
"Tro.F1.1.b","46 03.354","10 05.135","2495","2007","7","80.57864347","15.92551235","3.495844175","0","8","0.512838585","0.88413372","5.200190325",7,"2",0.88413372
"Tro.F1.1.c","46 03.346","10 05.145","2495","2007","7","80.57864347","15.92551235","3.495844175","0","8","0.506999815","0.874067682","5.244960217",7,"0",0.874067682
"Tro.F1.1.d","46 03.361","10 05.154","2530","2007","7","80.57864347","15.92551235","3.495844175","0","8.1","0.38961","0.67168764","2.63049115",7,"4",0.67168764
"Tro.F1.1.e","46 03.365","10 05.142","2520","2007","7","80.57864347","15.92551235","3.495844175","0","7.9","0.4870125","0.83960955","4.945347569",7,"8",0.83960955
"Tro.F1.2.a","46 03.419","10 05.073","2485","1985","29","21.97138189","64.76375303","11.31414963","1.950715453","7.4","0.09667622","0.166669803","0.380619434",29,"45",0.166669803
"Tro.F1.2.b","46 03.430","10 05.058","2480","1985","29","21.97138189","64.76375303","11.31414963","1.950715453","7.5","0.998215079","1.720922796","0.640266799",29,"44",1.720922796
"Tro.F1.2.c","46 03.424","10 05.061","2480","1985","29","21.97138189","64.76375303","11.31414963","1.950715453","7.5","0.428855522","0.73934692","0.639629295",29,"28",0.73934692
"Tro.F1.2.d","46 03.416","10 05.043","2490","1985","29","21.97138189","64.76375303","11.31414963","1.950715453","8.2","0.978919598","1.687657387","4.634674884",29,"46",1.687657387
"Tro.F1.2.e","46 03.407","10 05.050","2495","1985","29","21.97138189","64.76375303","11.31414963","1.950715453","7.9","0.77922","1.34337528","0.434060074",29,"30",1.34337528
"Tro.F1.3.a","46 03.587","10 04.884","2435","1920","94","56.36617538","23.56226529","14.83550037","5.236058954","8","1.94805","3.3584382","2.746566792",94,"50",3.3584382
"Tro.F1.3.b","46 03.601","10 04.885","2435","1920","94","56.36617538","23.56226529","14.83550037","5.236058954","7.9","1.753245","3.02259438","3.596497755",94,"48",3.02259438
"Tro.F1.3.c","46 03.614","10 04.874","2435","1920","94","56.36617538","23.56226529","14.83550037","5.236058954","7.9","3.935454545","6.784723636","1.116154476",94,"32",6.784723636
"Tro.F1.3.d","46 03.600","10 04.871","2435","1920","94","56.36617538","23.56226529","14.83550037","5.236058954","8","2.532465","4.36596966","2.301939851",94,"52",4.36596966
"Tro.F1.3.e","46 03.626","10 04.867","2435","1920","94","56.36617538","23.56226529","14.83550037","5.236058954","7.9","1.94805","3.3584382","0.626307417",94,"41",3.3584382
"Tro.F2.1.a","46 03.682","10 04.752","2390","1880","134","79.04258951","18.65209534","2.095741049","0.209574105","6.6","20.844135","35.93528874","0.248858362",134,"77",35.93528874
"Tro.F2.1.b","46 03.679","10 04.766","2390","1880","134","79.04258951","18.65209534","2.095741049","0.209574105","7","15.97401","27.53919324","0.312109863",134,"89",27.53919324
"Tro.F2.1.c","46 03.679","10 04.789","2395","1880","134","79.04258951","18.65209534","2.095741049","0.209574105","7.4","58.4415","100.753146","0.435502134",134,"89",100.753146
"Tro.F2.1.d","46 03.663","10 04.761","2405","1880","134","79.04258951","18.65209534","2.095741049","0.209574105","7.1","5.84415","10.0753146","0.49937578",134,"89",10.0753146
"Tro.F2.1.e","46 03.664","10 04.791","2410","1880","134","79.04258951","18.65209534","2.095741049","0.209574105","7.1","11.6883","20.1506292","0.311072953",134,"64",20.1506292
"Tro.F2.2.a","46 03.692","10 04.630","2370","1820","194","53.83833508","30.46669885","14.0793078","1.615658272","6.4","5.45454","9.40362696","0.336021505",194,"115",9.40362696
"Tro.F2.2.b","46 03.683","10 04.616","2375","1820","194","53.83833508","30.46669885","14.0793078","1.615658272","6.1","7.01298","12.09037752","0.201612903",194,"107",12.09037752
"Tro.F2.2.c","46 03.685","10 04.596","2380","1820","194","53.83833508","30.46669885","14.0793078","1.615658272","6.5","17.92206","30.89763144","0.334905155",194,"99",30.89763144
"Tro.F2.2.d","46 03.691","10 04.575","2375","1820","194","53.83833508","30.46669885","14.0793078","1.615658272","6.4","2.33766","4.03012584","0.401886186",194,"78",4.03012584
"Tro.F2.2.e","46 03.698","10 04.619","2365","1820","194","53.83833508","30.46669885","14.0793078","1.615658272","7.4","3.8961","6.7168764","0.537634409",194,"80",6.7168764
"Tro.CS.1.a","46 03.747","10 04.536","2360","LG","10000","63.49810637","14.96577639","18.79847522","2.737642022","4.4","102.4114713","176.5573766","0.064111878",5000,"93",176.5573766
"Tro.CS.1.b","46 03.748","10 04.538","2360","LG","10000","63.49810637","14.96577639","18.79847522","2.737642022","4.6","77.88827518","134.2793864","0.127840999",5000,"135",134.2793864
"Tro.CS.1.c","46 03.752","10 04.541","2355","LG","10000","63.49810637","14.96577639","18.79847522","2.737642022","4.7","63.15374065","108.8770489","0.191888788",5000,"142",108.8770489
"Tro.CS.1.d","46 03.759","10 04.524","2350","LG","10000","63.49810637","14.96577639","18.79847522","2.737642022","5.2","91.55835","157.8465954","0.537634409",5000,"131",157.8465954
"Tro.CS.1.e","46 03.755","10 04.501","2360","LG","10000","63.49810637","14.96577639","18.79847522","2.737642022","5.2","33.11685","57.0934494","0.537634409",5000,"90",57.0934494
